X,Y,Ypred-NNQR-tqo=10,Y-Ypred,Ypred-NNQR-tqo=15,Y-Ypred,Ypred tao =15 above 10,,Ypred-QR-tqo=10,Y-Ypred,Ypred-QR-tqo=15,Y-Ypred,Ypred tao =15 above 10,,Ypred-CJQR-tqo=10,Y-Ypred,Ypred-CJQR-tqo=15,Y-Ypred,Ypred tao =15 above 10,,Ypred-NNQR-tqo=10,Y-Ypred,Ypred-NNQR-tqo=15,Y-Ypred,Ypred-NNQR-tqo=15,,
0.2095,1.77268,1.822074745,-0.049394745,1.944698375,-0.172018375,0.12262363,,2.217013639,-0.444333639,1.772679979,2.1E-08,-0.44433366,,1.772680108,-1.08E-07,1.772679979,2.1E-08,Nearly 0,,1.822084745,-0.049404745,1.84721856,-0.07453856,0.025133815,,
0.6809,2.529927,1.750756639,0.779170361,1.920303425,0.609623575,0.169546786,,2.123092846,0.406834154,1.765364794,0.764562206,-0.357728052,,1.701340318,0.828586682,1.765364794,0.764562206,0.064024476,,1.750766639,0.779160361,1.830474432,0.699452568,0.079707793,,
1.2936,2.00102,1.658061256,0.342958744,1.8885962,0.1124238,0.230534944,,2.001019723,2.768E-07,1.755856915,0.245163085,-0.245162808,,1.60861675,0.39240325,1.755856915,0.245163085,0.147240165,,1.658071256,0.342948744,1.808711328,0.192308672,0.150640072,,
1.8535,2.101015,1.573353985,0.527661015,1.859621375,0.241393625,0.28626739,,1.889466367,0.211548633,1.747168387,0.353846613,-0.14229798,,1.523883724,0.577131276,1.747168387,0.353846613,0.223284663,,1.573363985,0.527651015,1.78882368,0.31219132,0.215459695,,
2.3583,2.494044,1.496982793,0.997061207,1.833497975,0.660546025,0.336515182,,1.788891025,0.705152975,1.739334901,0.754709099,-0.049556124,,1.447489311,1.046554689,1.739334901,0.754709099,0.291845589,,1.496992793,0.997051207,1.770893184,0.723150816,0.273900391,,
2.4368,2.164226,1.485106528,0.679119472,1.8294356,0.3347904,0.344329072,,1.773250842,0.390975158,1.738116738,0.426109262,-0.035134104,,1.435609435,0.728616565,1.738116738,0.426109262,0.302507302,,1.485116528,0.679109472,1.768104864,0.396121136,0.282988336,,
2.8754,2.44769,1.418750734,1.028939266,1.80673805,0.64095195,0.387987316,,1.685865055,0.761824945,1.731310543,0.716379457,0.045445488,,1.369233466,1.078456534,1.731310543,0.716379457,0.362077077,,1.418760734,1.028929266,1.752525792,0.695164208,0.333765058,,
4.1162,2.574242,1.231030102,1.343211898,1.74252665,0.83171535,0.511496548,,1.438650544,1.135591456,1.712055808,0.862186192,0.273405264,,1.181455757,1.392786243,1.712055808,0.862186192,0.530600052,,1.231040102,1.343201898,1.708452576,0.865789424,0.477412474,,
4.567,4.314459,1.16282857,3.15163043,1.71919775,2.59526125,0.55636918,,1.348834054,2.965624946,1.705060294,2.609398706,0.35622624,,1.113233488,3.201225512,1.705060294,2.609398706,0.591826806,,1.16283857,3.15162043,1.69244016,2.62201884,0.52960159,,
4.7146,1.569597,1.140498166,0.429098834,1.71155945,-0.14196245,0.571061284,,1.319426525,0.250170475,1.702769837,-0.133172837,0.383343312,,1.090896294,0.478700706,1.702769837,-0.133172837,0.611873543,,1.140508166,0.429088834,1.687197408,-0.117600408,0.546689242,,
4.8946,2.467982,1.113265966,1.354716034,1.70224445,0.76573755,0.588978484,,1.283563685,1.184418315,1.699976597,0.768005403,0.416412912,,1.063655814,1.404326186,1.699976597,0.768005403,0.636320783,,1.113275966,1.354706034,1.680803808,0.787178192,0.567527842,,
4.9042,2.153414,1.111813582,1.041600418,1.70174765,0.45166635,0.589934068,,1.281651,0.871763,1.699827624,0.453586376,0.418176624,,1.062202989,1.091211011,1.699827624,0.453586376,0.637624636,,1.111823582,1.041590418,1.680462816,0.472951184,0.568639234,,
5.8864,1.925144,0.963216544,0.961927456,1.6509188,0.2742252,0.687702256,,1.085959437,0.839184563,1.684585845,0.240558155,0.598626408,,0.91356077,1.01158323,1.684585845,0.240558155,0.771025075,,0.963226544,0.961917456,1.645575072,0.279568928,0.682348528,,
6.205,1.679639,0.91501555,0.76462345,1.63443125,0.04520775,0.7194157,,1.02248221,0.65715679,1.67964181,-2.81E-06,0.6571596,,0.86534512,0.81429388,1.67964181,-2.81E-06,0.81429669,,0.91502555,0.76461345,1.6342584,0.0453806,0.71923285,,
6.3962,4.556762,0.886088902,3.670673098,1.62453665,2.93222535,0.738447748,,0.984387904,3.572374096,1.676674768,2.880087232,0.692286864,,0.836409677,3.720352323,1.676674768,2.880087232,0.840265092,,0.886098902,3.670663098,1.627466976,2.929295024,0.741368074,,
7.5324,3.509959,0.714193204,2.795765796,1.5657383,1.9442207,0.851545096,,0.758013689,2.751945311,1.659043217,1.850915783,0.901029528,,0.664461714,2.845497286,1.659043217,1.850915783,0.994581503,,0.714203204,2.795755796,1.587109152,1.922849848,0.872905948,,
7.7828,3.522292,0.676310188,2.845981812,1.5527801,1.9695119,0.876469912,,0.708124494,2.814167506,1.65515751,1.86713449,0.947033016,,0.626567179,2.895724821,1.65515751,1.86713449,1.02859033,,0.676320188,2.845971812,1.578214944,1.944077056,0.901894756,,
8.4835,3.099583,0.570301285,2.529281715,1.516518875,1.583064125,0.94621759,,0.568518427,2.531064573,1.644284047,1.455298953,1.07576562,,0.520526044,2.579056956,1.644284047,1.455298953,1.123758003,,0.570311285,2.529271715,1.55332608,1.54625692,0.983014795,,
9.4854,0.368901,0.418723834,-0.049822834,1.46467055,-1.09576955,1.045946716,,0.368901875,-8.748E-07,1.628736563,-1.259835563,1.259834688,,0.368902506,-1.5056E-06,1.628736563,-1.259835563,1.259834057,,0.418733834,-0.049832834,1.517738592,-1.148837592,1.099004758,,
9.9582,3.069406,0.347193922,2.722212078,1.44020315,1.62920285,1.093009228,,0.274702148,2.794703852,1.621399652,1.448006348,1.346697504,,0.297350845,2.772055155,1.621399652,1.448006348,1.324048808,,0.347203922,2.722202078,1.500944736,1.568461264,1.153740814,,
